======================================================================
CONDITION 1: No replay   
======================================================================
    epoch    0: train=0.751044, val=0.447258, replay=0.0000, recon=0.0000, stored=62
    epoch   10: train=0.041230, val=0.042472, replay=0.0000, recon=0.0346, stored=682
    epoch   20: train=0.024793, val=0.026603, replay=0.0000, recon=0.1333, stored=1302
    epoch   30: train=0.018992, val=0.019970, replay=0.0000, recon=0.5315, stored=1922
    epoch   40: train=0.015510, val=0.017341, replay=0.0000, recon=0.5632, stored=2542
    epoch   50: train=0.013834, val=0.016418, replay=0.0000, recon=0.6578, stored=3162
    epoch   60: train=0.012788, val=0.013850, replay=0.0000, recon=0.6481, stored=3782
    epoch   70: train=0.012325, val=0.012398, replay=0.0000, recon=0.6729, stored=4402
    epoch   80: train=0.010974, val=0.012522, replay=0.0000, recon=0.6833, stored=5022
    epoch   90: train=0.010624, val=0.011223, replay=0.0000, recon=0.6820, stored=5642
    epoch  100: train=0.009883, val=0.010593, replay=0.0000, recon=0.7030, stored=6262
    epoch  110: train=0.009512, val=0.009686, replay=0.0000, recon=0.6799, stored=6882
    epoch  120: train=0.009637, val=0.010296, replay=0.0000, recon=0.6765, stored=7502
    epoch  130: train=0.008528, val=0.009897, replay=0.0000, recon=0.7096, stored=8122
    epoch  140: train=0.008743, val=0.010068, replay=0.0000, recon=0.7013, stored=8742
    epoch  150: train=0.008334, val=0.008619, replay=0.0000, recon=0.6764, stored=9362
    epoch  160: train=0.008204, val=0.009070, replay=0.0000, recon=0.7065, stored=9982
    epoch  170: train=0.008060, val=0.008509, replay=0.0000, recon=0.6970, stored=10602
    epoch  180: train=0.007333, val=0.008261, replay=0.0000, recon=0.6715, stored=11222
    epoch  190: train=0.006996, val=0.007625, replay=0.0000, recon=0.6534, stored=11842
    epoch  200: train=0.006588, val=0.007377, replay=0.0000, recon=0.6610, stored=12462
    epoch  210: train=0.006737, val=0.008512, replay=0.0000, recon=0.6844, stored=13082
    epoch  220: train=0.006642, val=0.007255, replay=0.0000, recon=0.6891, stored=13702
    epoch  230: train=0.006450, val=0.006474, replay=0.0000, recon=0.6887, stored=14322
    epoch  240: train=0.006212, val=0.007538, replay=0.0000, recon=0.6271, stored=14942
    epoch  250: train=0.006067, val=0.006249, replay=0.0000, recon=0.6414, stored=15562
    epoch  260: train=0.006485, val=0.007109, replay=0.0000, recon=0.5883, stored=16182
    epoch  270: train=0.005481, val=0.006109, replay=0.0000, recon=0.6759, stored=16802
    epoch  280: train=0.005364, val=0.005853, replay=0.0000, recon=0.6730, stored=17422
    epoch  290: train=0.005458, val=0.005208, replay=0.0000, recon=0.6704, stored=18042
    epoch  300: train=0.005400, val=0.005326, replay=0.0000, recon=0.6577, stored=18662
    epoch  310: train=0.005067, val=0.005342, replay=0.0000, recon=0.6714, stored=19282
    epoch  320: train=0.005054, val=0.006742, replay=0.0000, recon=0.6763, stored=19902
    epoch  330: train=0.005036, val=0.005488, replay=0.0000, recon=0.6716, stored=20522
    epoch  340: train=0.005363, val=0.005212, replay=0.0000, recon=0.6345, stored=21142
    epoch  350: train=0.004269, val=0.004646, replay=0.0000, recon=0.6718, stored=21762
    epoch  360: train=0.005010, val=0.004658, replay=0.0000, recon=0.6627, stored=22382
    epoch  370: train=0.004086, val=0.004052, replay=0.0000, recon=0.6700, stored=23002
    epoch  380: train=0.004018, val=0.004475, replay=0.0000, recon=0.6694, stored=23622
    epoch  390: train=0.003993, val=0.004345, replay=0.0000, recon=0.6618, stored=24242
    epoch  399: train=0.003817, val=0.006062, replay=0.0000, recon=0.6528, stored=24800
